PC=00000026, SP=fffffff4, A=00000001, B=00000001stl 00000002
PC=00000027, SP=fffffff4, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=fffffff4, A=00000001, B=00000001shl 
PC=00000029, SP=fffffff4, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=fffffff4, A=00000009, B=00000002sub 
PC=0000002b, SP=fffffff4, A=fffffff9, B=00000002brlz 00000004
PC=00000030, SP=fffffff4, A=fffffff9, B=00000002ldl 00000002
PC=00000031, SP=fffffff4, A=00000001, B=fffffff9brz 00000014
PC=00000032, SP=fffffff4, A=00000001, B=fffffff9ldl 00000003
PC=00000033, SP=fffffff4, A=00000009, B=00000001adc ffffffff
PC=00000034, SP=fffffff4, A=00000008, B=00000001stl 00000000
PC=00000035, SP=fffffff4, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=fffffff3, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=fffffff3, A=00000008, B=00000001stl 00000000
PC=00000038, SP=fffffff3, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=fffffff3, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=fffffff3, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=fffffff3, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=fffffff0, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=fffffff0, A=00000000, B=00000000stl 00000002
PC=00000027, SP=fffffff0, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=fffffff0, A=00000001, B=00000000shl 
PC=00000029, SP=fffffff0, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=fffffff0, A=00000008, B=00000000sub 
PC=0000002b, SP=fffffff0, A=fffffff8, B=00000000brlz 00000004
PC=00000030, SP=fffffff0, A=fffffff8, B=00000000ldl 00000002
PC=00000031, SP=fffffff0, A=00000000, B=fffffff8brz 00000014
PC=00000046, SP=fffffff0, A=00000000, B=fffffff8ldc 00000001
